[  291.979563] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 6, saddr: 178.69.128.197:51986, daddr: 52.6.250.239:2503 
[  292.442143] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 11, saddr: 71.174.68.167, daddr: 17.142.220.23
[  292.781516] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 1, saddr: 43.139.177.45:1576, daddr: 224.149.250.214:39355 
[  293.148054] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 12, saddr: 70.151.253.60, daddr: 134.102.72.77
[  293.182017] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 15, saddr: 240.46.135.99, daddr: 215.41.19.42
[  293.368428] nmj_buff TCP - name: wlp3s0, protocol: 6, ip_version: 6, saddr: 29.138.117.114:0, daddr: 255.206.240.156:0 
[  293.577718] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 2, saddr: 230.82.247.25, daddr: 55.98.252.145
[  293.599024] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 5, saddr: 172.173.229.213, daddr: 229.129.48.45
[  293.630785] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 8, saddr: 168.80.132.186:4224, daddr: 218.112.82.35:4400 
[  293.814058] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 3, saddr: 16.130.114.0, daddr: 100.161.38.109
[  294.203932] nmj_buff TCP - name: wlp3s0, protocol: 6, ip_version: 6, saddr: 0.64.168.81:37368, daddr: 150.252.195.50:64 
[  294.302227] nmj_buff TCP - name: wlp3s0, protocol: 6, ip_version: 2, saddr: 103.61.56.104:257, daddr: 238.190.63.128:2568 
[  294.377414] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 6, saddr: 238.218.175.28:6924, daddr: 63.208.103.34:1479 
[  294.419981] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 12, saddr: 207.19.251.16, daddr: 30.41.159.229
[  294.814188] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 13, saddr: 230.142.120.97:12280, daddr: 72.79.210.252:3701 
[  295.030505] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 12, saddr: 175.193.174.2, daddr: 12.121.23.58
[  295.125778] nmj_buff TCP - name: wlp3s0, protocol: 6, ip_version: 10, saddr: 210.209.159.72:36091, daddr: 240.215.245.136:64 
[  295.186044] nmj_buff TCP - name: wlp3s0, protocol: 6, ip_version: 11, saddr: 126.80.92.102:4224, daddr: 62.164.0.62:4400 
[  295.249674] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 12, saddr: 206.52.184.53, daddr: 19.35.245.232
[  295.329319] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 0, saddr: 172.148.24.40, daddr: 69.130.123.88
[  295.339296] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 15, saddr: 117.13.102.220:6924, daddr: 125.190.191.163:51146 
[  295.371707] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 8, saddr: 39.211.157.225:0, daddr: 122.50.57.60:0 
[  295.479683] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 5, saddr: 69.243.244.53:45308, daddr: 225.211.208.22:64 
[  295.776068] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 9, saddr: 123.192.89.220:6924, daddr: 197.28.181.167:30668 
[  296.176214] nmj_buff TCP - name: wlp3s0, protocol: 6, ip_version: 1, saddr: 29.201.25.4:0, daddr: 105.203.215.237:0 
[  296.248165] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 13, saddr: 223.116.206.217:6399, daddr: 169.99.29.68:64 
[  296.319901] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 10, saddr: 39.188.148.233:30961, daddr: 87.76.244.219:13122 
[  296.490170] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 15, saddr: 193.132.107.255, daddr: 19.229.135.90
[  297.875599] nmj_buff UDP - name: wlp3s0, protocol: 17, ip_version: 5, saddr: 25.171.113.8:69, daddr: 170.43.5.88:11011 
[  301.776932] nmj_buff TCP - name: wlp3s0, protocol: 6, ip_version: 15, saddr: 35.255.40.164:22605, daddr: 103.99.56.25:14135
